channel;$\Delta E = 400$ eV;$\Delta E = 4$ keV;$\Delta E = 10$ keV;$\Delta E = 40$ keV;$\Delta E = 90$ keV;$\Delta E = 200$ keV
95; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
96; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
97; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
98; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
99; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
100; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
101; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
102; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
103; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
104; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
105; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
106; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
107; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
108; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
109; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
110; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
111; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
112; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
113; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
114; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
115; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
116; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
117; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
118; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
119; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
120; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
121; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
122; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
123; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
124; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
125; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
126; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
127; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
128; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
129; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
130; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
131; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
132; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
133; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
134; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
135; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
136; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
137; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
138; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
139; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
140; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
141; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
142; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
143; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
144; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
145; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
146; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
147; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
148; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
149; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
150; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
151; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
152; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
153; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
154; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
155; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
156; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
157; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
158; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
159; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
160; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
161; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
162; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
163; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
164; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
165; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
166; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
167; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
168; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
169; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
170; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
171; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
172; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000; 0.00000000000000E+0000
